stadt_nummer;stadt_name;kanton;land_id;szenario1_dach_potenzial_solarstrom_gwh;januar;februar;maerz;april;mai;juni;juli;august;september;oktober;november;dezember
4401;Arbon;Thurgau;CH;95.27;2.57;4.28;8.06;10.87;12.73;13.3;13.72;11.36;8.37;5.15;2.76;2.1
4406;Dozwil;Thurgau;CH;8.07;0.23;0.38;0.69;0.9;1.07;1.11;1.15;0.96;0.71;0.44;0.24;0.19
4411;Egnach;Thurgau;CH;72.18;2.1;3.47;6.2;8.11;9.46;9.85;10.16;8.46;6.36;4.02;2.22;1.77
4416;Hefenhofen;Thurgau;CH;19.88;0.59;0.96;1.71;2.21;2.6;2.71;2.8;2.34;1.75;1.1;0.62;0.49
4421;Horn;Thurgau;CH;18;0.5;0.81;1.53;2.05;2.38;2.49;2.57;2.14;1.59;0.99;0.54;0.41
4426;Kesswil;Thurgau;CH;16.91;0.48;0.78;1.45;1.91;2.23;2.33;2.42;2.01;1.5;0.92;0.5;0.38
4431;Roggwil (TG);Thurgau;CH;37.26;1.09;1.83;3.21;4.19;4.86;5.04;5.21;4.36;3.28;2.1;1.17;0.92
4436;Romanshorn;Thurgau;CH;81.89;2.25;3.66;6.9;9.27;10.95;11.47;11.82;9.74;7.22;4.39;2.37;1.85
4441;Salmsach;Thurgau;CH;20.68;0.57;0.94;1.74;2.33;2.76;2.9;2.98;2.45;1.81;1.11;0.61;0.48
4446;Sommeri;Thurgau;CH;10.03;0.31;0.5;0.87;1.11;1.3;1.35;1.4;1.17;0.89;0.56;0.32;0.25
4451;Uttwil;Thurgau;CH;13.69;0.4;0.63;1.18;1.54;1.8;1.88;1.94;1.62;1.22;0.75;0.41;0.32
4461;Amriswil;Thurgau;CH;106.9;3.1;5.12;9.09;11.93;14.08;14.72;15.17;12.61;9.38;5.87;3.28;2.55
4471;Bischofszell;Thurgau;CH;54.37;1.55;2.61;4.57;6.04;7.15;7.48;7.72;6.44;4.82;3.07;1.66;1.26
4476;Erlen;Thurgau;CH;47.04;1.39;2.28;4.01;5.22;6.16;6.44;6.64;5.53;4.14;2.62;1.48;1.13
4486;Hauptwil-Gottshaus;Thurgau;CH;24.97;0.76;1.26;2.14;2.76;3.21;3.35;3.46;2.92;2.22;1.45;0.81;0.63
4495;Hohentannen;Thurgau;CH;12.63;0.39;0.64;1.08;1.39;1.62;1.69;1.75;1.47;1.12;0.73;0.42;0.33
4501;Kradolf-Schoenenberg;Thurgau;CH;35.07;1.04;1.72;3;3.88;4.57;4.74;4.92;4.12;3.12;2;1.11;0.85
4506;Sulgen;Thurgau;CH;49.23;1.43;2.34;4.14;5.45;6.5;6.79;7;5.83;4.34;2.73;1.53;1.15
4511;Zihlschlacht-Sitterdorf;Thurgau;CH;33.98;1.01;1.68;2.88;3.76;4.42;4.62;4.77;3.98;3;1.92;1.09;0.85
4536;Basadingen-Schlattingen;Thurgau;CH;45.63;1.27;2.09;3.77;5.02;6.04;6.47;6.61;5.5;4.09;2.47;1.28;1.02
4545;Diessenhofen;Thurgau;CH;35.11;1;1.63;2.93;3.86;4.62;4.94;5.05;4.22;3.17;1.92;0.99;0.78
4546;Schlatt (TG);Thurgau;CH;26.51;0.75;1.25;2.2;2.91;3.48;3.72;3.8;3.2;2.39;1.45;0.75;0.61
4551;Aadorf;Thurgau;CH;79.73;2.4;3.79;6.68;8.75;10.4;10.9;11.22;9.46;7.07;4.55;2.52;1.99
4561;Felben-Wellhausen;Thurgau;CH;29.34;0.81;1.36;2.43;3.26;3.88;4.09;4.2;3.54;2.62;1.62;0.87;0.66
4566;Frauenfeld;Thurgau;CH;191.04;5.16;8.63;15.71;21.24;25.58;26.95;27.62;23.14;16.94;10.42;5.49;4.16
4571;Gachnang;Thurgau;CH;40.05;1.13;1.91;3.36;4.44;5.26;5.53;5.67;4.81;3.58;2.25;1.2;0.91
4590;Huettlingen;Thurgau;CH;12.61;0.36;0.6;1.07;1.4;1.65;1.73;1.78;1.52;1.15;0.72;0.37;0.26
4591;Matzingen;Thurgau;CH;28.33;0.85;1.34;2.37;3.11;3.7;3.87;3.98;3.36;2.52;1.62;0.9;0.71
4601;Neunforn;Thurgau;CH;16.99;0.51;0.84;1.44;1.87;2.18;2.3;2.36;2.02;1.53;0.97;0.53;0.44
4606;Stettfurt;Thurgau;CH;14.58;0.48;0.73;1.25;1.59;1.85;1.92;1.98;1.7;1.31;0.87;0.5;0.4
4611;Thundorf;Thurgau;CH;21.62;0.71;1.09;1.86;2.36;2.75;2.86;2.95;2.53;1.94;1.28;0.72;0.57
4616;Uesslingen-Buch;Thurgau;CH;19.48;0.6;0.97;1.66;2.15;2.49;2.62;2.7;2.31;1.75;1.11;0.62;0.5
4621;Warth-Weiningen;Thurgau;CH;15.38;0.49;0.77;1.32;1.69;1.96;2.05;2.12;1.82;1.38;0.88;0.5;0.4
4641;Altnau;Thurgau;CH;22.33;0.65;1.07;1.94;2.51;2.92;3.06;3.17;2.64;1.97;1.2;0.68;0.52
